FirstName,LastName,FullName,Bib,AgeGroup,Gender,City,State,Country,CountryISO,SwimTime,BikeTime,RunTime,T1Time,T2Time,FinishTime,SwimSeconds,BikeSeconds,RunSeconds,T1Seconds,T2Seconds,FinishSeconds,OverallRank,GenderRank,AgeGroupRank,SwimRankOverall,SwimRankGender,SwimRankGroup,BikeRankOverall,BikeRankGender,BikeRankGroup,RunRankOverall,RunRankGender,RunRankGroup,Status,Points
Patrik,Nilsson,Patrik Nilsson,1,MPRO,Male,Stockholm,,Sweden,SE,0:49:35,4:25:09,2:39:40,,,7:59:21,2975,15909,9580,186,111,28761,1,1,1,3,3,1,3,3,3,1,1,1,Finisher,5000
Kristian,Høgenhaug,Kristian Høgenhaug,38,MPRO,Male,Aarhus,,Denmark,DK,0:50:01,4:16:10,2:48:47,,,8:00:18,3001,15370,10127,205,114,28818,2,2,2,12,12,10,1,1,1,2,2,2,Finisher,4988
David,McNamee,David McNamee,6,MPRO,Male,Irvine,APO,United Kingdom,GB,0:49:51,4:25:04,2:42:59,,,8:02:29,2991,15904,9779,177,98,28949,3,3,3,11,11,9,6,6,6,3,3,3,Finisher,4962
Pieter,Heemeryck,Pieter Heemeryck,37,MPRO,Male,Winksele,,Belgium,BE,0:49:45,4:25:14,2:47:29,,,8:07:11,2985,15914,10049,174,110,29231,4,4,4,8,8,6,7,7,7,4,4,4,Finisher,4906
Franz,Löschke,Franz Löschke,2,MPRO,Male,Potsdam,,Germany,DE,0:49:45,4:25:11,2:47:10,,,8:07:32,2985,15911,10030,174,151,29252,5,5,5,9,9,7,5,5,5,5,5,5,Finisher,4901
Maurice,Clavel,Maurice Clavel,4,MPRO,Male,Freiburg,BW,Germany,DE,0:49:37,4:25:04,2:49:55,,,8:09:41,2977,15904,10195,189,117,29381,6,6,6,4,4,2,4,4,4,6,6,6,Finisher,4876
Paul,Schuster,Paul Schuster,42,MPRO,Male,Muehltal,HE,Germany,DE,0:49:37,4:25:14,2:51:27,,,8:11:23,2977,15914,10287,183,123,29483,7,7,7,5,5,3,8,8,8,7,7,7,Finisher,4855
Milosz,Sowinski,Milosz Sowinski,52,MPRO,Male,Krzyzanowice,dolnośląskie,Poland,PL,0:51:37,4:32:44,2:48:12,,,8:17:52,3097,16364,10092,194,125,29872,8,8,8,18,18,16,10,10,10,8,8,8,Finisher,4777
Ivan,Tutukin,Ivan Tutukin,31,MPRO,Male,Lubertsy,Intl State,Kazakhstan,KZ,0:50:03,4:40:53,2:43:45,,,8:20:04,3003,16853,9825,191,132,30004,9,9,9,13,13,11,13,13,12,9,9,9,Finisher,4751
Dylan,Magnien,Dylan Magnien,49,MPRO,Male,Chassagne-montrachet ,,France,FR,0:49:41,4:40:45,2:47:24,,,8:23:45,2981,16845,10044,228,128,30225,10,10,10,7,7,5,15,15,14,10,10,10,Finisher,4707
